en,vi,description
science,khoa học,
technology,công nghệ,
engineering,kỹ thuật,
art,nghệ thuật,
mathematics,toán,
STEM careers,các nghề trong lĩnh vực STEM,
STEM workforce,nguồn nhân lực cho STEM,
STEM education,giáo dục STEM,
STEM fields,lĩnh vực STEM,
preschool,giáo dục mầm non,
preschooler,trẻ mẫu giáo,
toddlerhood,tuổi học đi,Nguồn: MaySocHOC - https://www.facebook.com/notes/may-s%C3%B3c-childrens-house/%C4%91%E1%BB%ABng-l%E1%BA%A7m-montessori-kh%C3%B4ng-ph%E1%BA%A3i-l%C3%A0-pp-gi%C3%A1o-d%E1%BB%A5c-s%E1%BB%9Bm/1521388594598841/
early childhood,tuổi chơi,Nguồn: MaySocHOC - https://www.facebook.com/notes/may-s%C3%B3c-childrens-house/%C4%91%E1%BB%ABng-l%E1%BA%A7m-montessori-kh%C3%B4ng-ph%E1%BA%A3i-l%C3%A0-pp-gi%C3%A1o-d%E1%BB%A5c-s%E1%BB%9Bm/1521388594598841/
middle childhood,tuổi đi học,Nguồn: MaySocHOC - https://www.facebook.com/notes/may-s%C3%B3c-childrens-house/%C4%91%E1%BB%ABng-l%E1%BA%A7m-montessori-kh%C3%B4ng-ph%E1%BA%A3i-l%C3%A0-pp-gi%C3%A1o-d%E1%BB%A5c-s%E1%BB%9Bm/1521388594598841/
adolescence,thanh thiếu niên,Nguồn: MaySocHOC - https://www.facebook.com/notes/may-s%C3%B3c-childrens-house/%C4%91%E1%BB%ABng-l%E1%BA%A7m-montessori-kh%C3%B4ng-ph%E1%BA%A3i-l%C3%A0-pp-gi%C3%A1o-d%E1%BB%A5c-s%E1%BB%9Bm/1521388594598841/
early childhood education,giáo dục mầm non,Nguồn: MaySocHOC - https://www.facebook.com/notes/may-s%C3%B3c-childrens-house/%C4%91%E1%BB%ABng-l%E1%BA%A7m-montessori-kh%C3%B4ng-ph%E1%BA%A3i-l%C3%A0-pp-gi%C3%A1o-d%E1%BB%A5c-s%E1%BB%9Bm/1521388594598841/
award-winning,"được tán thưởng, được giải thưởng",
experience,"trải nghiệm, kinh nghiệm",